monat;SPIEGEL_avg_words;SPIEGEL_avg_chars;STERN_avg_words;STERN_avg_chars;SPIEGEL_anzahl;STERN_anzahl;monat_dt
1963-06;476.52131147540985;3489.160655737705;;;305;0;1963-06-01
1963-07;497.8888888888889;3632.594315245478;;;387;0;1963-07-01
1963-08;533.4166666666666;3896.815972222222;;;288;0;1963-08-01
1963-09;496.4423076923077;3622.5833333333335;;;312;0;1963-09-01
1963-10;677.5583333333333;4918.9944444444445;;;360;0;1963-10-01
1963-11;665.9823943661971;4845.098591549296;;;284;0;1963-11-01
1963-12;677.8550185873606;4916.304832713755;;;269;0;1963-12-01
1964-01;607.027972027972;4411.433566433567;;;286;0;1964-01-01
1964-02;599.9857651245552;4309.900355871886;;;281;0;1964-02-01
1964-03;728.6412698412698;5278.653968253968;;;315;0;1964-03-01
1964-04;703.320895522388;5072.753731343284;;;268;0;1964-04-01
1964-05;681.2727272727273;4936.5489510489515;;;286;0;1964-05-01
1964-06;582.841225626741;4226.311977715877;;;359;0;1964-06-01
1964-07;571.5202702702703;4130.5777027027025;;;296;0;1964-07-01
1964-08;608.8252788104089;4429.680297397769;;;269;0;1964-08-01
1964-09;695.0906515580737;5031.507082152974;;;353;0;1964-09-01
1964-10;711.5377358490566;5160.694968553459;;;318;0;1964-10-01
1964-11;734.0324675324675;5297.892857142857;;;308;0;1964-11-01
1964-12;700.6892857142857;5047.3607142857145;;;280;0;1964-12-01
1965-01;582.1714285714286;4205.846428571429;;;280;0;1965-01-01
1965-02;613.8754325259515;4467.920415224913;;;289;0;1965-02-01
1965-03;681.8346253229975;4934.139534883721;;;387;0;1965-03-01
1965-04;654.5917159763313;4750.473372781065;;;338;0;1965-04-01
1965-05;753.2591362126246;5451.196013289036;;;301;0;1965-05-01
1965-06;685.6033519553073;4962.519553072626;;;358;0;1965-06-01
1965-07;659.1595744680851;4707.578014184397;;;282;0;1965-07-01
1965-08;607.5244956772334;4335.4005763688765;;;347;0;1965-08-01
